Sibling Pair ID,Sister Name,Brother Name,Sister's Demand,Rakhi Type,Rakhi Tying Speed (sec),Brother's Gift,Sister's Emotion,Brother's Reaction,Celebration Location,Sweet Shared,Year
SB-1411,Shannon,Michael,Gold Ring,Kundan Rakhi,38.14,Bluetooth Speaker,Happy,Happy,Online Video Call,Jalebi,2023
SB-1412,Joyce,Anthony,Designer Handbag,Bracelet Rakhi,59.16,Chocolate Hamper,Angry,Excited,Mall,Peda,2024
SB-1413,Wanda,Kenneth,Fitness Tracker,Kundan Rakhi,56.52,Bluetooth Speaker,Happy,Grateful,College Hostel,Kaju Katli,2025
SB-1414,Amanda,Shane,Makeup Kit,Lumba Rakhi,21.85,Gift Card,Angry,Grateful,Home,Jalebi,2023
SB-1415,Laurie,Jerry,Trip to Goa,Bracelet Rakhi,12.42,Teddy Bear,Angry,Nervous,Online Video Call,Kaju Katli,2025
SB-1416,Maria,Antonio,Fitness Tracker,Lumba Rakhi,16.87,Wrist Watch,Happy,Nervous,Mall,Jalebi,2022
SB-1417,Deborah,Bruce,Smartphone,Lumba Rakhi,7.81,Teddy Bear,Sentimental,Excited,Home,Kaju Katli,2025
SB-1418,Laurie,Daniel,Fitness Tracker,Traditional Rakhi,12.79,Gift Card,Happy,Surprised,Online Video Call,Gulab Jamun,2024
SB-1419,Nicole,Alex,Designer Handbag,Silver Rakhi,24.34,Bluetooth Speaker,Excited,Shocked,Office,Rasgulla,2025
SB-1420,Angela,Joseph,Trip to Goa,Traditional Rakhi,25.5,Wrist Watch,Playful,Grateful,College Hostel,Rasgulla,2024
SB-1421,Emily,Manuel,Smartphone,Bracelet Rakhi,33.77,Sweets Box,Joyful,Excited,Cafe,Gulab Jamun,2025
SB-1422,Diane,Zachary,Books,Kundan Rakhi,19.29,Bluetooth Speaker,Sentimental,Happy,Online Video Call,Jalebi,2023
SB-1423,Kathy,Aaron,Fitness Tracker,Silver Rakhi,27.78,Sneakers,Excited,Surprised,Office,Kaju Katli,2023
SB-1424,Jessica,Andrew,Shopping Voucher,Silver Rakhi,32.84,Teddy Bear,Happy,Shocked,Home,Gulab Jamun,2024
SB-1425,Barbara,Kenneth,Perfume,Kundan Rakhi,31.81,Cash,Angry,Surprised,College Hostel,Rasgulla,2025
SB-1426,Kimberly,Jason,Fitness Tracker,Eco-friendly Rakhi,37.72,Backpack,Happy,Excited,Cafe,Jalebi,2023
SB-1427,Elizabeth,Peter,Books,Silver Rakhi,25.83,Chocolate Hamper,Sentimental,Shocked,Online Video Call,Ladoo,2025
SB-1428,Mary,Tim,Trip to Goa,Traditional Rakhi,11.21,Custom T-shirt,Happy,Nervous,Mall,Peda,2022
SB-1429,Susan,Jonathan,Trip to Goa,Eco-friendly Rakhi,41.13,Sneakers,Playful,Excited,Office,Peda,2025
SB-1430,Adrienne,Charles,Smartphone,Cartoon Rakhi,27.5,Sneakers,Excited,Surprised,Online Video Call,Ladoo,2025
SB-1431,Rachael,Daniel,Gold Ring,Lumba Rakhi,54.09,Bluetooth Speaker,Joyful,Excited,Mall,Jalebi,2024
SB-1432,Nicole,Larry,Perfume,Bracelet Rakhi,46.62,Teddy Bear,Angry,Grateful,Cafe,Peda,2023
SB-1433,Cassandra,David,Smartphone,Cartoon Rakhi,12.36,Bluetooth Speaker,Angry,Nervous,Cafe,Jalebi,2025
SB-1434,Kristie,Brian,Fitness Tracker,Eco-friendly Rakhi,36.71,Sweets Box,Angry,Happy,Cafe,Barfi,2023
SB-1435,Angela,David,Gold Ring,Lumba Rakhi,35.28,Bluetooth Speaker,Sentimental,Grateful,College Hostel,Kaju Katli,2024
SB-1436,Maria,Chad,Books,Bracelet Rakhi,21.94,Sneakers,Playful,Happy,Cafe,Barfi,2023
SB-1437,Rebecca,Edward,Makeup Kit,Bracelet Rakhi,37.79,Chocolate Hamper,Sentimental,Surprised,Online Video Call,Kaju Katli,2023
SB-1438,Vanessa,Mark,Trip to Goa,Traditional Rakhi,24.15,Cash,Sentimental,Shocked,College Hostel,Ladoo,2022
SB-1439,Allison,William,Gold Ring,Lumba Rakhi,37.57,Bluetooth Speaker,Sentimental,Shocked,Home,Jalebi,2025
SB-1440,Leah,Jonathan,Perfume,Cartoon Rakhi,34.72,Teddy Bear,Playful,Shocked,Office,Rasgulla,2023
SB-1441,Amanda,Phillip,Headphones,Cartoon Rakhi,36.14,Wrist Watch,Sentimental,Surprised,Mall,Gulab Jamun,2023
SB-1442,Brittany,Joseph,Fitness Tracker,Traditional Rakhi,39.29,Backpack,Playful,Grateful,Office,Rasgulla,2022
SB-1443,Madeline,Miguel,Shopping Voucher,Silver Rakhi,18.36,Wrist Watch,Joyful,Excited,Mall,Rasgulla,2024
SB-1444,Rebekah,Bruce,Shopping Voucher,Traditional Rakhi,24.76,Cash,Excited,Shocked,Online Video Call,Peda,2024
SB-1445,Erica,Duane,Fitness Tracker,Zardosi Rakhi,26.37,Wrist Watch,Angry,Happy,Online Video Call,Barfi,2024
SB-1446,Maria,Samuel,Fitness Tracker,Kundan Rakhi,31.72,Cash,Playful,Grateful,Online Video Call,Jalebi,2024
SB-1447,Jennifer,George,Perfume,Zardosi Rakhi,51.68,Chocolate Hamper,Playful,Surprised,College Hostel,Jalebi,2025
SB-1448,Denise,Mark,Makeup Kit,Kundan Rakhi,48.82,Backpack,Angry,Shocked,College Hostel,Rasgulla,2023
SB-1449,Kristina,Johnny,Trip to Goa,Cartoon Rakhi,22.55,Cash,Playful,Surprised,Online Video Call,Peda,2024
SB-1450,Susan,Anthony,Designer Handbag,Silver Rakhi,9.56,Chocolate Hamper,Excited,Shocked,Office,Gulab Jamun,2022
SB-1451,Diana,Christopher,Fitness Tracker,Lumba Rakhi,48.82,Chocolate Hamper,Happy,Surprised,Mall,Kaju Katli,2023
SB-1452,Jennifer,David,Perfume,Traditional Rakhi,55.05,Backpack,Playful,Nervous,Office,Kaju Katli,2025
SB-1453,Brittany,Christian,Headphones,Eco-friendly Rakhi,57.97,Backpack,Sentimental,Excited,Office,Barfi,2025
SB-1454,Jaime,John,Trip to Goa,Traditional Rakhi,45.73,Wrist Watch,Excited,Surprised,Home,Ladoo,2022
SB-1455,Kelly,John,Perfume,Bracelet Rakhi,39.11,Sweets Box,Angry,Happy,Cafe,Ladoo,2022
SB-1456,Megan,Brett,Designer Handbag,Cartoon Rakhi,51.43,Teddy Bear,Angry,Nervous,Mall,Jalebi,2022
SB-1457,Emily,Matthew,Designer Handbag,Traditional Rakhi,8.45,Bluetooth Speaker,Playful,Surprised,College Hostel,Kaju Katli,2025
SB-1458,Kim,Joseph,Gold Ring,Eco-friendly Rakhi,16.46,Gift Card,Joyful,Excited,College Hostel,Kaju Katli,2022
SB-1459,Samantha,Justin,Trip to Goa,Silver Rakhi,53.53,Sneakers,Sentimental,Nervous,Office,Jalebi,2022
SB-1460,Judy,Marcus,Trip to Goa,Traditional Rakhi,40.8,Wrist Watch,Excited,Happy,Online Video Call,Barfi,2023
SB-1461,Chloe,Jason,Headphones,Zardosi Rakhi,19.12,Gift Card,Joyful,Surprised,Home,Kaju Katli,2025
SB-1462,Kimberly,William,Designer Handbag,Lumba Rakhi,26.43,Chocolate Hamper,Joyful,Surprised,Office,Jalebi,2024
SB-1463,Brittany,Terry,Headphones,Lumba Rakhi,33.11,Custom T-shirt,Angry,Grateful,Online Video Call,Jalebi,2025
SB-1464,Jacqueline,Tony,Books,Lumba Rakhi,8.03,Cash,Excited,Surprised,Home,Gulab Jamun,2022
SB-1465,Kelsey,James,Shopping Voucher,Cartoon Rakhi,41.44,Bluetooth Speaker,Excited,Shocked,Online Video Call,Barfi,2025
SB-1466,Susan,Nicholas,Smartphone,Lumba Rakhi,27.42,Teddy Bear,Excited,Excited,Cafe,Kaju Katli,2023
SB-1467,Denise,Steven,Gold Ring,Traditional Rakhi,10.44,Gift Card,Angry,Surprised,Cafe,Barfi,2023
SB-1468,Tiffany,Alex,Smartphone,Lumba Rakhi,28.25,Custom T-shirt,Sentimental,Shocked,College Hostel,Gulab Jamun,2025
SB-1469,Tina,Timothy,Headphones,Lumba Rakhi,25.12,Cash,Excited,Happy,Home,Rasgulla,2025
SB-1470,Kimberly,Peter,Books,Silver Rakhi,30.44,Teddy Bear,Joyful,Shocked,Online Video Call,Kaju Katli,2022
SB-1471,Wendy,Nicholas,Smartphone,Cartoon Rakhi,34.1,Wrist Watch,Angry,Shocked,Home,Peda,2022
SB-1472,Kristen,Gregory,Gold Ring,Kundan Rakhi,21.1,Teddy Bear,Angry,Shocked,Online Video Call,Rasgulla,2022
SB-1473,Jamie,Clinton,Books,Eco-friendly Rakhi,49.12,Teddy Bear,Sentimental,Shocked,Cafe,Jalebi,2024
SB-1474,Heather,Daniel,Designer Handbag,Eco-friendly Rakhi,57.17,Backpack,Excited,Surprised,College Hostel,Kaju Katli,2023
SB-1475,Kari,Joshua,Headphones,Traditional Rakhi,17.54,Teddy Bear,Angry,Surprised,Cafe,Kaju Katli,2022
SB-1476,Dominique,William,Fitness Tracker,Zardosi Rakhi,55.13,Teddy Bear,Angry,Excited,Online Video Call,Ladoo,2023
SB-1477,Brittany,Eric,Fitness Tracker,Eco-friendly Rakhi,14.22,Sneakers,Angry,Happy,Cafe,Barfi,2022
SB-1478,Amy,Jon,Fitness Tracker,Bracelet Rakhi,58.46,Gift Card,Excited,Grateful,College Hostel,Rasgulla,2023
SB-1479,Taylor,John,Fitness Tracker,Bracelet Rakhi,20.52,Sneakers,Sentimental,Shocked,Home,Jalebi,2024
SB-1480,Cynthia,Craig,Books,Kundan Rakhi,25.21,Teddy Bear,Playful,Grateful,Home,Peda,2022
SB-1481,Brittany,Arthur,Shopping Voucher,Zardosi Rakhi,17.98,Wrist Watch,Excited,Shocked,Online Video Call,Peda,2025
SB-1482,Cassidy,Aaron,Books,Traditional Rakhi,25.57,Cash,Sentimental,Surprised,Cafe,Gulab Jamun,2025
SB-1483,Tanya,Robert,Designer Handbag,Cartoon Rakhi,9.22,Cash,Joyful,Excited,Cafe,Gulab Jamun,2022
SB-1484,Amber,Thomas,Fitness Tracker,Zardosi Rakhi,21.54,Gift Card,Happy,Excited,Office,Gulab Jamun,2022
SB-1485,Isabella,Jeff,Designer Handbag,Lumba Rakhi,59.07,Sweets Box,Joyful,Surprised,Home,Ladoo,2023
SB-1486,Judy,Kevin,Books,Cartoon Rakhi,8.21,Sweets Box,Playful,Happy,Online Video Call,Jalebi,2024
SB-1487,Mary,Matthew,Smartphone,Kundan Rakhi,44.95,Bluetooth Speaker,Happy,Nervous,Online Video Call,Jalebi,2022
SB-1488,Michele,William,Fitness Tracker,Silver Rakhi,28.08,Teddy Bear,Excited,Nervous,Office,Gulab Jamun,2025
SB-1489,Elizabeth,Kevin,Headphones,Kundan Rakhi,19.87,Chocolate Hamper,Happy,Surprised,Online Video Call,Kaju Katli,2023
SB-1490,Alicia,John,Smartphone,Zardosi Rakhi,40.39,Cash,Angry,Nervous,Online Video Call,Peda,2024
SB-1491,Christina,Gary,Shopping Voucher,Silver Rakhi,37.95,Cash,Sentimental,Shocked,Office,Jalebi,2023
SB-1492,Melissa,Christopher,Headphones,Silver Rakhi,59.25,Custom T-shirt,Joyful,Surprised,Cafe,Jalebi,2023
SB-1493,Katrina,Jason,Headphones,Eco-friendly Rakhi,14.34,Sweets Box,Angry,Nervous,Cafe,Jalebi,2025
SB-1494,Lisa,Karl,Books,Zardosi Rakhi,29.26,Chocolate Hamper,Excited,Shocked,Cafe,Rasgulla,2024
SB-1495,Kimberly,John,Fitness Tracker,Silver Rakhi,44.02,Custom T-shirt,Sentimental,Nervous,Online Video Call,Barfi,2025
SB-1496,Amy,Tyler,Trip to Goa,Zardosi Rakhi,59.25,Custom T-shirt,Happy,Grateful,Mall,Kaju Katli,2024
SB-1497,Jessica,Kenneth,Makeup Kit,Lumba Rakhi,27.48,Chocolate Hamper,Sentimental,Surprised,Cafe,Peda,2023
SB-1498,Lauren,David,Makeup Kit,Zardosi Rakhi,25.95,Sneakers,Sentimental,Shocked,Mall,Rasgulla,2024
SB-1499,Maria,Nicholas,Makeup Kit,Cartoon Rakhi,38.06,Chocolate Hamper,Playful,Grateful,Home,Rasgulla,2022
SB-1500,Maria,Kevin,Shopping Voucher,Zardosi Rakhi,10.43,Bluetooth Speaker,Angry,Happy,College Hostel,Ladoo,2024
SB-1501,Jenna,Shawn,Books,Zardosi Rakhi,38.22,Cash,Excited,Happy,Home,Barfi,2023
SB-1502,Gloria,Matthew,Books,Zardosi Rakhi,25.94,Teddy Bear,Playful,Happy,Mall,Jalebi,2025
SB-1503,Lauren,Adam,Smartphone,Bracelet Rakhi,6.74,Chocolate Hamper,Happy,Excited,Home,Rasgulla,2022
SB-1504,Amber,Christopher,Designer Handbag,Traditional Rakhi,33,Bluetooth Speaker,Excited,Surprised,College Hostel,Gulab Jamun,2024
SB-1505,Cassandra,Vincent,Headphones,Lumba Rakhi,8.43,Backpack,Playful,Excited,Cafe,Ladoo,2024
SB-1506,Tanya,Craig,Fitness Tracker,Zardosi Rakhi,21.79,Wrist Watch,Excited,Excited,Home,Kaju Katli,2023
SB-1507,Meghan,Brett,Books,Silver Rakhi,39.09,Teddy Bear,Angry,Shocked,Mall,Ladoo,2023
SB-1508,Tammy,Michael,Gold Ring,Silver Rakhi,54.89,Wrist Watch,Playful,Nervous,Online Video Call,Gulab Jamun,2025
SB-1509,Maria,William,Designer Handbag,Eco-friendly Rakhi,14.3,Sweets Box,Playful,Nervous,Home,Kaju Katli,2022
SB-1510,Amber,Steven,Gold Ring,Silver Rakhi,36.24,Teddy Bear,Joyful,Surprised,Mall,Rasgulla,2023
SB-1511,Bonnie,Jeffrey,Shopping Voucher,Zardosi Rakhi,47.79,Gift Card,Happy,Grateful,Cafe,Peda,2023
SB-1512,Judith,Joshua,Smartphone,Kundan Rakhi,58.28,Chocolate Hamper,Angry,Shocked,College Hostel,Barfi,2024
SB-1513,Kimberly,David,Perfume,Cartoon Rakhi,21.84,Custom T-shirt,Joyful,Nervous,Online Video Call,Jalebi,2025
SB-1514,Pamela,Aaron,Smartphone,Zardosi Rakhi,23.61,Cash,Angry,Nervous,College Hostel,Gulab Jamun,2022
SB-1515,Brenda,Elijah,Books,Kundan Rakhi,6.22,Gift Card,Joyful,Happy,Online Video Call,Peda,2025
SB-1516,Jennifer,Dennis,Makeup Kit,Bracelet Rakhi,17.49,Bluetooth Speaker,Happy,Shocked,Online Video Call,Barfi,2025
SB-1517,Terry,Eric,Gold Ring,Silver Rakhi,58.31,Chocolate Hamper,Playful,Shocked,Mall,Kaju Katli,2023
SB-1518,Audrey,Ryan,Shopping Voucher,Bracelet Rakhi,31.59,Wrist Watch,Happy,Surprised,Cafe,Gulab Jamun,2025
SB-1519,Bridget,Joseph,Shopping Voucher,Eco-friendly Rakhi,41.99,Bluetooth Speaker,Joyful,Grateful,College Hostel,Peda,2024
SB-1520,Tammy,Benjamin,Headphones,Eco-friendly Rakhi,54.67,Wrist Watch,Playful,Grateful,Cafe,Ladoo,2023
SB-1521,Kayla,Jeremiah,Makeup Kit,Zardosi Rakhi,30.44,Custom T-shirt,Joyful,Surprised,Office,Ladoo,2022
SB-1522,Crystal,Austin,Makeup Kit,Kundan Rakhi,44.27,Cash,Happy,Excited,Office,Peda,2025
SB-1523,Rebecca,Matthew,Fitness Tracker,Eco-friendly Rakhi,51.63,Chocolate Hamper,Excited,Excited,Mall,Gulab Jamun,2025
SB-1524,Jessica,Kevin,Gold Ring,Silver Rakhi,45.63,Backpack,Playful,Happy,College Hostel,Rasgulla,2024
SB-1525,Anna,Christopher,Headphones,Silver Rakhi,24.86,Sweets Box,Joyful,Shocked,Cafe,Jalebi,2022
SB-1526,Ebony,Gregory,Headphones,Bracelet Rakhi,37.06,Cash,Sentimental,Excited,Mall,Rasgulla,2025
SB-1527,Sarah,Ryan,Trip to Goa,Eco-friendly Rakhi,9.66,Bluetooth Speaker,Sentimental,Nervous,Mall,Kaju Katli,2022
SB-1528,Kari,Marcus,Fitness Tracker,Silver Rakhi,38.95,Sweets Box,Playful,Shocked,Home,Kaju Katli,2024
SB-1529,Misty,Christopher,Gold Ring,Cartoon Rakhi,50.13,Gift Card,Sentimental,Nervous,Mall,Barfi,2023
SB-1530,Kristin,Duane,Headphones,Silver Rakhi,36.31,Cash,Playful,Shocked,College Hostel,Gulab Jamun,2024
SB-1531,Lauren,David,Perfume,Bracelet Rakhi,18.93,Backpack,Joyful,Surprised,Mall,Rasgulla,2025
SB-1532,Emily,Walter,Headphones,Bracelet Rakhi,43.71,Sneakers,Sentimental,Happy,Online Video Call,Jalebi,2022
SB-1533,Whitney,Matthew,Fitness Tracker,Cartoon Rakhi,17.52,Wrist Watch,Playful,Nervous,Mall,Jalebi,2024
SB-1534,Laura,Kevin,Smartphone,Zardosi Rakhi,49.25,Bluetooth Speaker,Excited,Grateful,Cafe,Rasgulla,2023
SB-1535,Elizabeth,Richard,Smartphone,Kundan Rakhi,56.66,Backpack,Excited,Shocked,Home,Ladoo,2023
SB-1536,Kristina,Kurt,Perfume,Lumba Rakhi,39.06,Chocolate Hamper,Happy,Happy,Mall,Kaju Katli,2024
SB-1537,Jeanne,Corey,Designer Handbag,Cartoon Rakhi,42.5,Backpack,Sentimental,Excited,Office,Gulab Jamun,2025
SB-1538,Joanne,Christopher,Shopping Voucher,Silver Rakhi,41.82,Cash,Angry,Surprised,College Hostel,Jalebi,2025
SB-1539,Monique,Jose,Books,Zardosi Rakhi,30.98,Chocolate Hamper,Happy,Excited,Online Video Call,Rasgulla,2022
SB-1540,Deanna,Juan,Fitness Tracker,Lumba Rakhi,27.17,Teddy Bear,Playful,Happy,Mall,Jalebi,2024
SB-1541,Melinda,Samuel,Makeup Kit,Cartoon Rakhi,50.39,Custom T-shirt,Angry,Happy,Mall,Kaju Katli,2024
SB-1542,Mary,Christian,Designer Handbag,Eco-friendly Rakhi,36.37,Backpack,Sentimental,Happy,Online Video Call,Peda,2022
SB-1543,Melissa,Jordan,Headphones,Bracelet Rakhi,21.77,Chocolate Hamper,Angry,Shocked,Mall,Kaju Katli,2022
SB-1544,Maria,Anthony,Perfume,Kundan Rakhi,22.35,Custom T-shirt,Angry,Surprised,Online Video Call,Gulab Jamun,2024
SB-1545,Catherine,Michael,Designer Handbag,Cartoon Rakhi,11.29,Teddy Bear,Joyful,Shocked,Cafe,Gulab Jamun,2024
SB-1546,Katie,John,Books,Bracelet Rakhi,47.54,Sweets Box,Angry,Shocked,Home,Peda,2024
SB-1547,Kimberly,Antonio,Headphones,Bracelet Rakhi,56.91,Sneakers,Sentimental,Happy,Online Video Call,Peda,2024
SB-1548,Sharon,John,Books,Traditional Rakhi,23.04,Backpack,Angry,Nervous,Office,Gulab Jamun,2024
SB-1549,Sarah,Raymond,Smartphone,Eco-friendly Rakhi,26.61,Sneakers,Angry,Happy,Online Video Call,Rasgulla,2023
SB-1550,Ellen,David,Headphones,Kundan Rakhi,41.66,Gift Card,Angry,Grateful,Cafe,Jalebi,2025
SB-1551,Emily,Derrick,Headphones,Lumba Rakhi,15.63,Cash,Sentimental,Surprised,Cafe,Kaju Katli,2023
SB-1552,Kimberly,Daniel,Makeup Kit,Cartoon Rakhi,59.03,Sweets Box,Joyful,Surprised,Mall,Ladoo,2025
SB-1553,Whitney,Bobby,Fitness Tracker,Bracelet Rakhi,6.24,Bluetooth Speaker,Excited,Nervous,Mall,Barfi,2025
SB-1554,Kathy,Robert,Designer Handbag,Zardosi Rakhi,18.47,Wrist Watch,Happy,Grateful,Online Video Call,Ladoo,2022
SB-1555,Donna,Jonathon,Perfume,Eco-friendly Rakhi,47.77,Gift Card,Playful,Grateful,Online Video Call,Gulab Jamun,2025
SB-1556,Kristen,Edward,Trip to Goa,Bracelet Rakhi,10.01,Custom T-shirt,Excited,Shocked,Mall,Barfi,2025
SB-1557,Jennifer,Eric,Smartphone,Lumba Rakhi,39.17,Teddy Bear,Happy,Shocked,Home,Barfi,2022
SB-1558,Debbie,Robert,Trip to Goa,Silver Rakhi,19.73,Custom T-shirt,Joyful,Surprised,Mall,Jalebi,2023
SB-1559,Mary,Zachary,Headphones,Kundan Rakhi,27.92,Bluetooth Speaker,Playful,Surprised,Online Video Call,Rasgulla,2025
SB-1560,Sherry,Sean,Designer Handbag,Silver Rakhi,11.1,Custom T-shirt,Excited,Happy,Mall,Barfi,2023
SB-1561,Rhonda,Jeffrey,Gold Ring,Eco-friendly Rakhi,50.91,Wrist Watch,Sentimental,Nervous,Cafe,Jalebi,2023
SB-1562,Judy,William,Fitness Tracker,Traditional Rakhi,28.99,Cash,Happy,Happy,College Hostel,Rasgulla,2025
SB-1563,Maria,Joseph,Designer Handbag,Lumba Rakhi,11.97,Cash,Happy,Nervous,College Hostel,Gulab Jamun,2025
SB-1564,Heather,Joshua,Makeup Kit,Lumba Rakhi,34.26,Sweets Box,Excited,Surprised,College Hostel,Kaju Katli,2024
SB-1565,Megan,Benjamin,Fitness Tracker,Cartoon Rakhi,41.93,Sneakers,Sentimental,Nervous,Mall,Gulab Jamun,2023
SB-1566,Katie,Joseph,Trip to Goa,Eco-friendly Rakhi,29.65,Sneakers,Excited,Happy,Cafe,Barfi,2023
SB-1567,Karen,Charles,Trip to Goa,Traditional Rakhi,57.95,Teddy Bear,Sentimental,Shocked,Office,Barfi,2023
SB-1568,Erin,Dylan,Trip to Goa,Traditional Rakhi,10.93,Sneakers,Happy,Grateful,Office,Jalebi,2024
SB-1569,Mary,Justin,Designer Handbag,Bracelet Rakhi,53.66,Custom T-shirt,Angry,Grateful,Cafe,Rasgulla,2025
SB-1570,Martha,Nicholas,Headphones,Zardosi Rakhi,6.11,Sneakers,Excited,Grateful,Cafe,Jalebi,2022
SB-1571,Cynthia,Johnny,Gold Ring,Silver Rakhi,58.04,Custom T-shirt,Happy,Grateful,Online Video Call,Gulab Jamun,2022
SB-1572,Jennifer,Stephen,Designer Handbag,Zardosi Rakhi,46.62,Wrist Watch,Joyful,Shocked,Cafe,Kaju Katli,2022
SB-1573,Nancy,Nicholas,Makeup Kit,Silver Rakhi,25.41,Sneakers,Angry,Shocked,Online Video Call,Jalebi,2025
SB-1574,Ashley,Alan,Books,Silver Rakhi,57.41,Custom T-shirt,Happy,Excited,Online Video Call,Peda,2022
SB-1575,Sherry,John,Trip to Goa,Bracelet Rakhi,30.12,Sneakers,Joyful,Excited,Home,Kaju Katli,2022
SB-1576,Heather,Joshua,Designer Handbag,Traditional Rakhi,44.43,Gift Card,Angry,Surprised,Office,Barfi,2023
SB-1577,Janet,Jeffrey,Fitness Tracker,Silver Rakhi,31.81,Bluetooth Speaker,Angry,Nervous,Mall,Ladoo,2024
SB-1578,Deborah,Daniel,Makeup Kit,Silver Rakhi,46.46,Chocolate Hamper,Angry,Nervous,College Hostel,Gulab Jamun,2022
SB-1579,Sydney,Peter,Smartphone,Traditional Rakhi,26.05,Gift Card,Excited,Nervous,College Hostel,Barfi,2023
SB-1580,Heather,Jerry,Trip to Goa,Bracelet Rakhi,33.17,Bluetooth Speaker,Angry,Shocked,Office,Gulab Jamun,2024
SB-1581,Heather,Jesus,Perfume,Lumba Rakhi,11.8,Sneakers,Joyful,Surprised,Mall,Gulab Jamun,2023
SB-1582,Lindsay,James,Fitness Tracker,Bracelet Rakhi,29.88,Cash,Joyful,Surprised,Mall,Gulab Jamun,2025
SB-1583,Diane,Christopher,Fitness Tracker,Bracelet Rakhi,15.15,Cash,Playful,Happy,Mall,Kaju Katli,2022
SB-1584,Kathleen,Sean,Trip to Goa,Silver Rakhi,18.51,Wrist Watch,Playful,Happy,Mall,Peda,2024
SB-1585,Robin,Matthew,Fitness Tracker,Zardosi Rakhi,39.03,Teddy Bear,Excited,Nervous,Mall,Barfi,2023
SB-1586,Christina,William,Books,Eco-friendly Rakhi,57.45,Cash,Happy,Shocked,Home,Kaju Katli,2023
SB-1587,Toni,Joseph,Trip to Goa,Silver Rakhi,52.39,Cash,Joyful,Shocked,College Hostel,Kaju Katli,2023
SB-1588,Megan,Jay,Books,Kundan Rakhi,13.93,Teddy Bear,Happy,Nervous,College Hostel,Rasgulla,2023
SB-1589,Danielle,Michael,Shopping Voucher,Silver Rakhi,8.81,Bluetooth Speaker,Playful,Happy,Home,Kaju Katli,2024
SB-1590,Pamela,Andrew,Smartphone,Cartoon Rakhi,32.75,Teddy Bear,Excited,Shocked,Home,Kaju Katli,2025
SB-1591,Gabrielle,Kyle,Trip to Goa,Zardosi Rakhi,21.09,Backpack,Joyful,Nervous,College Hostel,Ladoo,2022
SB-1592,Paula,Fernando,Headphones,Bracelet Rakhi,27.18,Wrist Watch,Sentimental,Surprised,College Hostel,Rasgulla,2022
SB-1593,Gina,Jason,Books,Lumba Rakhi,8.98,Chocolate Hamper,Joyful,Nervous,Online Video Call,Kaju Katli,2022
SB-1594,Margaret,Calvin,Books,Zardosi Rakhi,7.52,Teddy Bear,Excited,Happy,Cafe,Barfi,2024
SB-1595,Amanda,Patrick,Designer Handbag,Zardosi Rakhi,8.57,Cash,Sentimental,Excited,Home,Gulab Jamun,2024
SB-1596,Shannon,Nicholas,Gold Ring,Lumba Rakhi,37.76,Custom T-shirt,Playful,Surprised,Office,Barfi,2022
SB-1597,Allison,Robert,Perfume,Zardosi Rakhi,54.63,Teddy Bear,Angry,Grateful,Online Video Call,Peda,2022
SB-1598,Megan,Daniel,Fitness Tracker,Bracelet Rakhi,40.89,Gift Card,Angry,Shocked,Home,Kaju Katli,2024
SB-1599,Christine,Garrett,Perfume,Zardosi Rakhi,49.49,Gift Card,Playful,Nervous,Online Video Call,Barfi,2023
SB-1600,Sarah,Jose,Perfume,Kundan Rakhi,39.11,Wrist Watch,Angry,Shocked,Office,Rasgulla,2023
SB-1601,Mary,Anthony,Shopping Voucher,Kundan Rakhi,40.64,Chocolate Hamper,Happy,Nervous,College Hostel,Rasgulla,2025
SB-1602,Stephanie,Paul,Gold Ring,Eco-friendly Rakhi,10.81,Wrist Watch,Excited,Excited,Home,Barfi,2023
SB-1603,Julie,Samuel,Makeup Kit,Silver Rakhi,56.55,Wrist Watch,Playful,Happy,Online Video Call,Gulab Jamun,2024
SB-1604,Dawn,Nathaniel,Smartphone,Traditional Rakhi,10.62,Sweets Box,Sentimental,Grateful,Home,Gulab Jamun,2022
SB-1605,Elizabeth,Kevin,Fitness Tracker,Cartoon Rakhi,11.53,Wrist Watch,Joyful,Nervous,Cafe,Kaju Katli,2024
SB-1606,Tina,John,Smartphone,Lumba Rakhi,57.93,Chocolate Hamper,Angry,Surprised,Cafe,Barfi,2024
SB-1607,Stephanie,Andres,Books,Zardosi Rakhi,32.11,Cash,Joyful,Surprised,College Hostel,Ladoo,2024
SB-1608,Jane,Matthew,Headphones,Cartoon Rakhi,43.05,Backpack,Angry,Grateful,Cafe,Rasgulla,2025
SB-1609,Rachel,Reginald,Fitness Tracker,Zardosi Rakhi,52.98,Wrist Watch,Excited,Surprised,Cafe,Barfi,2022
SB-1610,Elizabeth,Michael,Trip to Goa,Kundan Rakhi,35.03,Backpack,Angry,Nervous,Cafe,Kaju Katli,2022
SB-1611,Kristen,James,Designer Handbag,Traditional Rakhi,10.82,Wrist Watch,Playful,Grateful,Mall,Jalebi,2025
SB-1612,Emily,James,Makeup Kit,Kundan Rakhi,20.41,Cash,Excited,Happy,Cafe,Jalebi,2025
SB-1613,Christina,William,Makeup Kit,Zardosi Rakhi,57.08,Sweets Box,Joyful,Surprised,Office,Kaju Katli,2023
SB-1614,Wendy,Kenneth,Perfume,Bracelet Rakhi,44.64,Gift Card,Happy,Shocked,Online Video Call,Gulab Jamun,2024
SB-1615,Dawn,James,Makeup Kit,Cartoon Rakhi,10.9,Wrist Watch,Playful,Excited,Mall,Barfi,2022
